date,open,high,low,close,adjc,volume
2013-01-04,30800,30840,30200,30500,25089,12999800
2013-01-07,30300,30560,30000,30400,25007,12610950
2013-01-08,30260,30340,29960,30000,24678,13822250
2013-01-09,30000,30260,29820,30000,24678,12659950
2013-01-10,30300,30680,30000,30600,25171,14663600
2013-01-11,30960,30960,30140,30660,25221,11913550
2013-01-14,30780,31040,30560,31040,25533,7999950
2013-01-15,31200,31200,30240,30240,24875,10727150
2013-01-16,30280,30520,29660,29840,24546,16221000
2013-01-17,30040,30040,29000,29380,24168,20236700
2013-01-18,29600,29740,29100,29600,24349,12516600
2013-01-21,29280,29500,28960,29080,23921,14519650
2013-01-22,28900,29740,28900,29600,24349,11947400
2013-01-23,30000,30040,29460,29460,24234,9293550
2013-01-24,29360,29380,28820,29060,23905,15999050
2013-01-25,29200,29220,28100,28340,23312,21795250
2013-01-28,27920,28020,27420,27440,22572,30852150
2013-01-29,27800,28360,27600,28180,23181,21616550
2013-01-30,28520,28800,28240,28800,23691,16170100
2013-01-31,28600,28960,28440,28960,23822,16052800
2013-02-01,29200,29200,28440,28820,23707,11576200
2013-02-04,29000,29060,28340,28740,23641,12861900
2013-02-05,28300,28860,28280,28700,23608,11388100
2013-02-06,28800,28860,28540,28540,23477,6897150
2013-02-07,28780,28780,28400,28400,23362,9721100
2013-02-08,28360,29400,28300,29240,24053,13423850
2013-02-12,29680,29680,29180,29360,24151,8419750
2013-02-13,29480,29780,29120,29740,24464,9209050
2013-02-14,29800,29880,29540,29800,24513,7534100
2013-02-15,29800,29960,29540,29960,24645,7599950
2013-02-18,29800,30020,29620,29800,24513,7109950
2013-02-19,29600,29980,29580,29840,24546,6132250
2013-02-20,30040,30900,29940,30900,25418,18039350
2013-02-21,30800,31160,30700,31000,25501,13123650
2013-02-22,30600,30960,30400,30600,25171,13852650
2013-02-25,30980,30980,30600,30600,25171,8897550
2013-02-26,30300,30760,30160,30540,25122,9244750
2013-02-27,31180,31180,30380,30540,25122,8938200
2013-02-28,30600,31080,30600,30880,25402,12784200
2013-03-04,31260,31260,30600,30780,25320,13276850
2013-03-05,31120,31280,30960,31000,25501,9294600
2013-03-06,31440,31500,30940,31200,25665,10148650
2013-03-07,30960,31000,30240,30400,25007,13482700
2013-03-08,30300,30340,29780,29980,24661,18941000
2013-03-11,29860,30240,29700,30160,24810,13748250
2013-03-12,30080,30240,29800,29880,24579,8746550
2013-03-13,30120,30580,30020,30540,25122,11303550
2013-03-14,30560,30680,29980,30400,25007,12557800
2013-03-15,30580,30580,29600,29600,24349,36618350
2013-03-18,29200,29200,28680,28900,23773,26439550
2013-03-19,29000,29840,28960,29500,24267,13977100
2013-03-20,29200,29700,29120,29200,24020,13515750
2013-03-21,29220,29480,29120,29140,23970,11768550
2013-03-22,29160,29360,29040,29100,23938,10687100
2013-03-25,29600,29900,29400,29900,24596,10272050
2013-03-26,29900,30440,29820,30180,24826,16830000
2013-03-27,30300,30320,29740,30080,24744,12881400
2013-03-28,30060,30200,29940,30200,24842,7989600
2013-03-29,30480,30640,30340,30540,25122,9533700
2013-04-01,30700,30700,30240,30240,24875,5295500
2013-04-02,30200,30640,30200,30500,25089,8574850
2013-04-03,30520,30560,30180,30420,25023,10882700
2013-04-04,30340,30380,29980,30120,24777,10700450
2013-04-05,30100,30320,29860,30100,24760,14977350
2013-04-08,30100,30620,29940,30400,25007,12959500
2013-04-09,30540,30600,30200,30560,25139,9244000
2013-04-10,30800,30800,30260,30420,25023,11779700
2013-04-11,30420,30800,30360,30800,25336,11291500
2013-04-12,30800,31000,30260,30340,24958,10744050
2013-04-15,30060,30700,30060,30460,25056,10767300
2013-04-16,30100,30640,30020,30560,25139,18551850
2013-04-17,31320,31320,30280,30360,24974,10491100
2013-04-18,30400,30440,29620,29660,24398,13358400
2013-04-19,29300,29840,29100,29500,24267,15704000
2013-04-22,29800,30060,29300,30060,24727,9335850
2013-04-23,30000,30060,29480,29660,24398,8864850
2013-04-24,29700,29880,29480,29720,24448,10086550
2013-04-25,29400,29880,29400,29880,24579,10463900
2013-04-26,29900,29940,29440,29720,24448,11651600
2013-04-29,29820,29840,29500,29620,24365,8500150
2013-04-30,29800,30600,29760,30400,25007,18705000
2013-05-02,30520,30640,30340,30560,25139,10048950
2013-05-03,30700,30740,30420,30700,25254,6559050
2013-05-06,30800,30800,30240,30280,24908,8654300
2013-05-07,30160,30160,29820,29860,24563,11434500
2013-05-08,29860,29960,29580,29760,24480,14921950
2013-05-09,29800,30400,29780,30300,24925,10806150
2013-05-10,30280,30280,29520,29520,24283,11794850
2013-05-13,29420,29600,29240,29540,24299,8750100
2013-05-14,29740,30000,29660,30000,24678,9002650
2013-05-15,29700,30000,29680,30000,24678,10594800
2013-05-16,30020,30280,30000,30160,24810,14657550
2013-05-20,30040,30240,29920,29940,24629,12288850
2013-05-21,30200,30200,29700,29840,24546,11600400
2013-05-22,30080,30200,29820,30180,24826,9923100
2013-05-23,29840,30040,29680,29680,24415,11994150
2013-05-24,29740,29880,29440,29720,24448,10190600
2013-05-27,29800,29980,29740,29780,24497,6146400
2013-05-28,29620,29920,29620,29680,24415,11588050
2013-05-29,29680,30460,29660,30240,24875,14760550
2013-05-30,30360,30980,30240,30880,25402,22778000
2013-05-31,30920,31180,30740,30760,25303,18025050
2013-06-03,30720,31180,30560,30640,25204,10309450
2013-06-04,30660,30840,30420,30800,25336,8496600
2013-06-05,30980,31060,30420,30420,25023,13590650
2013-06-07,29500,29700,28480,28540,23477,54290800
2013-06-10,28400,28860,28280,28500,23444,26677700
2013-06-11,28220,28380,27560,27780,22852,34613000
2013-06-12,27560,28060,27240,27700,22786,22887650
2013-06-13,27600,27940,27140,27140,22325,33509850
2013-06-14,27300,27540,27140,27380,22523,17558350
2013-06-17,27400,27560,27300,27320,22473,11758450
2013-06-18,27360,27740,27200,27740,22819,11043050
2013-06-19,27640,27700,27280,27380,22523,10270250
2013-06-20,26860,26960,26520,26580,21865,17817950
2013-06-21,25880,26660,25800,26500,21799,27677800
2013-06-24,27000,27000,26260,26260,21601,15847900
2013-06-25,26020,26360,25760,25940,21338,20774950
2013-06-26,26020,26100,24900,25220,20746,31751200
2013-06-27,25900,26880,25720,26780,22038,25756150
2013-06-28,27000,27000,26580,26840,22087,20961250
2013-07-01,26680,26920,26440,26520,21824,12825950
2013-07-02,26800,27040,26600,26700,21972,10214450
2013-07-03,26680,26780,25900,26020,21412,12822050
2013-07-04,26040,26340,25920,26340,21676,9042650
2013-07-05,25720,26300,25200,25340,20853,30382800
2013-07-08,25000,25160,24180,24520,20178,26480150
2013-07-09,24600,25000,24580,24740,20359,19694950
2013-07-10,24900,25040,24740,24960,20540,17305650
2013-07-11,25020,26240,25020,26240,21593,20788350
2013-07-12,26400,26480,26020,26240,21593,11391300
2013-07-15,26300,26380,25700,26260,21610,9629600
2013-07-16,26360,26420,25800,25960,21363,9300950
2013-07-17,26020,26600,25720,26400,21725,12302300
2013-07-18,26500,26500,25840,25840,21264,15704200
2013-07-19,25760,25900,25280,25460,20952,16271300
2013-07-22,25600,25780,25300,25460,20952,10351150
2013-07-23,25460,26140,25440,26140,21511,11948900
2013-07-24,26140,26340,25900,26300,21643,8772650
2013-07-25,26340,26440,26160,26300,21643,8495650
2013-07-26,26280,26380,25980,26060,21445,13619550
2013-07-29,25820,26000,25580,25660,21116,11821850
2013-07-30,25540,25900,25540,25800,21231,9425350
2013-07-31,25600,25800,25580,25600,21067,12735500
2013-08-01,25700,25760,25480,25600,21067,9058900
2013-08-02,25860,26000,25640,25720,21166,11241350
2013-08-05,25660,25660,25480,25480,20968,8079850
2013-08-06,24900,25440,24900,25080,20639,14493700
2013-08-07,24740,24800,24440,24440,20112,15778100
2013-08-08,24260,24700,24260,24340,20030,17910800
2013-08-09,24580,24820,24400,24600,20244,12080200
2013-08-12,24600,24960,24500,24640,20277,10140600
2013-08-13,24880,25800,24840,25800,21231,20929450
2013-08-14,25780,26000,25700,26000,21396,13005100
2013-08-16,25720,26020,25640,25900,21314,11416600
2013-08-19,25720,25920,25600,25720,21166,6499850
2013-08-20,25920,26100,25380,25380,20886,14230950
2013-08-21,25300,25640,25120,25120,20672,12346050
2013-08-22,25000,25340,24900,25100,20655,11984850
2013-08-23,25600,26000,25420,25900,21314,17203400
2013-08-26,26020,26100,25920,26000,21396,11519650
2013-08-27,26140,26180,25900,26080,21462,9130800
2013-08-28,25680,26200,25680,26180,21544,9492550
2013-08-29,26340,26960,26280,26880,22120,16315000
2013-08-30,27200,27360,27020,27360,22515,17135800
2013-09-02,27360,27420,27000,27020,22235,10081600
2013-09-03,27280,27280,26520,26740,22005,11798500
2013-09-04,26600,27080,26420,26800,22054,10920050
2013-09-05,27400,27420,27160,27300,22466,15100100
